#YYYY MM DD HH MM P(mm) PET(mm)
2016 10 07 12 00 0.0 9.054
2016 10 07 13 00 0.0 9.0504
2016 10 07 14 00 0.0 8.014800000000001
2016 10 07 15 00 0.0 6.354
2016 10 07 16 00 0.0 3.9672
2016 10 07 17 00 0.0 1.3452000000000002
2016 10 07 18 00 0.0 0.024
2016 10 07 19 00 0.0 0.0
2016 10 07 20 00 0.0 0.0
2016 10 07 21 00 0.0 0.0
2016 10 07 22 00 0.0 0.0
2016 10 07 23 00 0.0 0.0
2016 10 08 00 00 0.0 0.0
2016 10 08 01 00 0.0 0.0
2016 10 08 02 00 0.0 0.0
2016 10 08 03 00 0.0 0.0
2016 10 08 04 00 0.0 0.0
2016 10 08 05 00 0.0 0.0
2016 10 08 06 00 0.0 0.036000000000000004
2016 10 08 07 00 0.0 1.0272000000000001
2016 10 08 08 00 0.0 3.1752000000000002
2016 10 08 09 00 0.0 5.6988
2016 10 08 10 00 0.0 7.893600000000001
2016 10 08 11 00 0.0 9.504000000000001
2016 10 08 12 00 0.0 10.386000000000001
2016 10 08 13 00 0.0 10.1316
2016 10 08 14 00 0.0 9.013200000000001
2016 10 08 15 00 0.0 6.6204
2016 10 08 16 00 0.0 3.3360000000000003
2016 10 08 17 00 0.0 0.7092
2016 10 08 18 00 0.0 0.009600000000000001
2016 10 08 19 00 0.0 0.0
2016 10 08 20 00 0.0 0.0
2016 10 08 21 00 0.0 0.0
2016 10 08 22 00 0.0 0.0
2016 10 08 23 00 0.0 0.0
2016 10 09 00 00 0.0 0.0
2016 10 09 01 00 0.0 0.0
2016 10 09 02 00 0.0 0.0
2016 10 09 03 00 0.0 0.0
2016 10 09 04 00 0.0 0.0
2016 10 09 05 00 0.0 0.0
2016 10 09 06 00 0.0 0.0216
2016 10 09 07 00 0.0 0.9420000000000001
2016 10 09 08 00 0.0 3.0456000000000003
2016 10 09 09 00 0.0 5.340000000000001
2016 10 09 10 00 0.0 7.5264
2016 10 09 11 00 0.0 9.132000000000001
2016 10 09 12 00 0.0 9.99
2016 10 09 13 00 0.0 9.0876
2016 10 09 14 00 0.0 7.998
2016 10 09 15 00 0.0 4.5744
2016 10 09 16 00 0.0 3.708
2016 10 09 17 00 0.0 1.1640000000000001
2016 10 09 18 00 0.0 0.009600000000000001
2016 10 09 19 00 0.0 0.0
2016 10 09 20 00 0.0 0.0
2016 10 09 21 00 0.0 0.0
2016 10 09 22 00 0.0 0.0
2016 10 09 23 00 0.0 0.0
2016 10 10 00 00 0.0 0.0
2016 10 10 01 00 0.0 0.0
2016 10 10 02 00 0.0 0.0
2016 10 10 03 00 0.0 0.0
2016 10 10 04 00 0.0 0.0
2016 10 10 05 00 0.0 0.0
2016 10 10 06 00 0.0 0.033600000000000005
2016 10 10 07 00 0.0 0.5064000000000001
2016 10 10 08 00 0.0 1.6452
2016 10 10 09 00 0.0 2.2584000000000004
2016 10 10 10 00 0.0 6.96
2016 10 10 11 00 0.0 8.217600000000001
2016 10 10 12 00 0.0 6.1836
2016 10 10 13 00 0.0 8.7672
2016 10 10 14 00 0.0 8.233200000000002
2016 10 10 15 00 0.0 6.345600000000001
2016 10 10 16 00 0.0 3.81
2016 10 10 17 00 0.0 1.1304
2016 10 10 18 00 0.0 0.012
2016 10 10 19 00 0.0 0.0
2016 10 10 20 00 0.0 0.0
2016 10 10 21 00 0.0 0.0
2016 10 10 22 00 0.0 0.0
2016 10 10 23 00 0.0 0.0
2016 10 11 00 00 0.0 0.0
2016 10 11 01 00 0.0 0.0
2016 10 11 02 00 0.0 0.0
2016 10 11 03 00 0.0 0.0
2016 10 11 04 00 0.0 0.0
2016 10 11 05 00 0.0 0.0
2016 10 11 06 00 0.0 0.032400000000000005
2016 10 11 07 00 0.0 1.0524
2016 10 11 08 00 0.0 2.9604000000000004
2016 10 11 09 00 0.0 4.896
2016 10 11 10 00 0.0 6.7464
2016 10 11 11 00 0.0 5.7216000000000005
2016 10 11 12 00 0.0 7.1304
2016 10 11 13 00 0.0 6.369600000000001
2016 10 11 14 00 0.0 5.749200000000001
2016 10 11 15 00 0.0 5.4552000000000005
2016 10 11 16 00 0.0 3.2616
2016 10 11 17 00 0.0 0.9132
2016 10 11 18 00 0.0 0.006
2016 10 11 19 00 0.0 0.0
2016 10 11 20 00 0.0 0.0
2016 10 11 21 00 0.0 0.0
2016 10 11 22 00 0.0 0.0
2016 10 11 23 00 0.0 0.0
2016 10 12 00 00 9.144 0.0
2016 10 12 01 00 0.0 0.0
2016 10 12 02 00 0.0 0.0
2016 10 12 03 00 0.0 0.0
2016 10 12 04 00 0.0 0.0
2016 10 12 05 00 0.0 0.0
2016 10 12 06 00 0.0 0.0072
2016 10 12 07 00 0.0 0.37320000000000003
2016 10 12 08 00 0.0 0.774
2016 10 12 09 00 0.0 1.7496000000000003
2016 10 12 10 00 0.0 3.7968
2016 10 12 11 00 0.0 5.712
2016 10 12 12 00 0.0 6.822
2016 10 12 13 00 0.0 6.6204
2016 10 12 14 00 0.0 6.0948
2016 10 12 15 00 0.0 4.708800000000001
2016 10 12 16 00 0.0 2.8020000000000005
2016 10 12 17 00 0.0 0.8472
2016 10 12 18 00 0.0 0.0048000000000000004
2016 10 12 19 00 0.0 0.0
2016 10 12 20 00 0.0 0.0
2016 10 12 21 00 0.0 0.0
2016 10 12 22 00 0.0 0.0
2016 10 12 23 00 0.0 0.0
2016 10 13 00 00 0.0 0.0
2016 10 13 01 00 0.0 0.0
2016 10 13 02 00 0.0 0.0
2016 10 13 03 00 0.0 0.0
2016 10 13 04 00 0.0 0.0
2016 10 13 05 00 0.0 0.0
2016 10 13 06 00 0.0 0.024
2016 10 13 07 00 0.0 0.4032
2016 10 13 08 00 0.0 0.9900000000000001
2016 10 13 09 00 0.0 3.2988
2016 10 13 10 00 0.0 4.92
2016 10 13 11 00 0.0 4.588800000000001
2016 10 13 12 00 0.0 7.32
2016 10 13 13 00 0.0 6.663600000000001
2016 10 13 14 00 0.0 6.864
2016 10 13 15 00 0.0 5.284800000000001
2016 10 13 16 00 0.0 2.172
2016 10 13 17 00 0.0 0.9107999999999999
2016 10 13 18 00 0.0 0.0072
2016 10 13 19 00 0.0 0.0
2016 10 13 20 00 0.0 0.0
